Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using ACAUSAL ODE (.net MLP) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=acausal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  => R²=0.5168, MSE=0.485631, Time=389.5ms

[7/24] K=10, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.135536, R²=0.8765
  Trial 41: MSE=0.119566, R²=0.8834
  Trial 42: MSE=0.123837, R²=0.8650
  Trial 43: MSE=0.134074, R²=0.8508
  Trial 44: MSE=0.124702, R²=0.8605
  Trial 45: MSE=0.120708, R²=0.8674
  Trial 46: MSE=0.126629, R²=0.8637
  Trial 47: MSE=0.116306, R²=0.8960
  Trial 48: MSE=0.130295, R²=0.8748
  Trial 49: MSE=0.129860, R²=0.8969
  => R²=0.8735, MSE=0.126151, Time=391.8ms

[8/24] K=10, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.150405, R²=0.8629
  Trial 41: MSE=0.133904, R²=0.8695
  Trial 42: MSE=0.133645, R²=0.8543
  Trial 43: MSE=0.145343, R²=0.8383
  Trial 44: MSE=0.135627, R²=0.8482
  Trial 45: MSE=0.129864, R²=0.8574
  Trial 46: MSE=0.137067, R²=0.8525
  Trial 47: MSE=0.124925, R²=0.8883
  Trial 48: MSE=0.143301, R²=0.8623
  Trial 49: MSE=0.146917, R²=0.8833
  => R²=0.8617, MSE=0.138100, Time=391.9ms

[9/24] K=20, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.239118, R²=0.7821
  Trial 41: MSE=0.213358, R²=0.7920
  Trial 42: MSE=0.210917, R²=0.7701
  Trial 43: MSE=0.230512, R²=0.7435
  Trial 44: MSE=0.216453, R²=0.7578
  Trial 45: MSE=0.200681, R²=0.7796
  Trial 46: MSE=0.220456, R²=0.7627
  Trial 47: MSE=0.203903, R²=0.8177
  Trial 48: MSE=0.231920, R²=0.7771
  Trial 49: MSE=0.240684, R²=0.8089
  => R²=0.7791, MSE=0.220800, Time=349.1ms

[10/24] K=20, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.735442, R²=0.3297
  Trial 41: MSE=0.656523, R²=0.3599
  Trial 42: MSE=0.597303, R²=0.3490
  Trial 43: MSE=0.641260, R²=0.2864
  Trial 44: MSE=0.610874, R²=0.3164
  Trial 45: MSE=0.543652, R²=0.4028
  Trial 46: MSE=0.622593, R²=0.3299
  Trial 47: MSE=0.567057, R²=0.4930
  Trial 48: MSE=0.695731, R²=0.3312
  Trial 49: MSE=0.782578, R²=0.3786
  => R²=0.3577, MSE=0.645301, Time=343.1ms

[11/24] K=20, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.225215, R²=0.7947
  Trial 41: MSE=0.201024, R²=0.8040
  Trial 42: MSE=0.202206, R²=0.7796
  Trial 43: MSE=0.219733, R²=0.7555
  Trial 44: MSE=0.207047, R²=0.7683
  Trial 45: MSE=0.193685, R²=0.7872
  Trial 46: MSE=0.212583, R²=0.7712
  Trial 47: MSE=0.195796, R²=0.8250
  Trial 48: MSE=0.219849, R²=0.7887
  Trial 49: MSE=0.225757, R²=0.8207
  => R²=0.7895, MSE=0.210290, Time=335.2ms

[12/24] K=20, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.240209, R²=0.7811
  Trial 41: MSE=0.214383, R²=0.7910
  Trial 42: MSE=0.211952, R²=0.7690
  Trial 43: MSE=0.231420, R²=0.7425
  Trial 44: MSE=0.217575, R²=0.7565
  Trial 45: MSE=0.201707, R²=0.7784
  Trial 46: MSE=0.221476, R²=0.7616
  Trial 47: MSE=0.204990, R²=0.8167
  Trial 48: MSE=0.233051, R²=0.7760
  Trial 49: MSE=0.241688, R²=0.8081
  => R²=0.7781, MSE=0.221845, Time=335.8ms

[13/24] K=50, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.492888, R²=0.5508
  Trial 41: MSE=0.439969, R²=0.5711
  Trial 42: MSE=0.431359, R²=0.5299
  Trial 43: MSE=0.470806, R²=0.4760
  Trial 44: MSE=0.446792, R²=0.5000
  Trial 45: MSE=0.397703, R²=0.5631
  Trial 46: MSE=0.465553, R²=0.4989
  Trial 47: MSE=0.427728, R²=0.6176
  Trial 48: MSE=0.484446, R²=0.5343
  Trial 49: MSE=0.519253, R²=0.5877
  => R²=0.5429, MSE=0.457650, Time=316.2ms

[14/24] K=50, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=1.036675, R²=0.0552
  Trial 41: MSE=0.913856, R²=0.1090
  Trial 42: MSE=0.858024, R²=0.0649
  Trial 43: MSE=0.912543, R²=-0.0156
  Trial 44: MSE=0.870810, R²=0.0255
  Trial 45: MSE=0.770106, R²=0.1541
  Trial 46: MSE=0.905029, R²=0.0259
  Trial 47: MSE=0.835272, R²=0.2533
  Trial 48: MSE=0.990511, R²=0.0479
  Trial 49: MSE=1.114048, R²=0.1153
  => R²=0.0835, MSE=0.920687, Time=321.1ms

[15/24] K=50, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.481769, R²=0.5609
  Trial 41: MSE=0.430887, R²=0.5799
  Trial 42: MSE=0.424540, R²=0.5373
  Trial 43: MSE=0.466548, R²=0.4808
  Trial 44: MSE=0.441826, R²=0.5056
  Trial 45: MSE=0.395587, R²=0.5655
  Trial 46: MSE=0.459184, R²=0.5058
  Trial 47: MSE=0.422913, R²=0.6219
  Trial 48: MSE=0.476200, R²=0.5422
  Trial 49: MSE=0.505351, R²=0.5987
  => R²=0.5499, MSE=0.450480, Time=324.4ms

[16/24] K=50, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.494498, R²=0.5493
  Trial 41: MSE=0.442003, R²=0.5691
  Trial 42: MSE=0.433214, R²=0.5279
  Trial 43: MSE=0.472942, R²=0.4737
  Trial 44: MSE=0.449266, R²=0.4973
  Trial 45: MSE=0.399645, R²=0.5610
  Trial 46: MSE=0.467352, R²=0.4970
  Trial 47: MSE=0.430166, R²=0.6154
  Trial 48: MSE=0.487126, R²=0.5317
  Trial 49: MSE=0.521282, R²=0.5861
  => R²=0.5408, MSE=0.459749, Time=324.0ms

[17/24] K=100, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.905222, R²=0.1750
  Trial 41: MSE=0.798695, R²=0.2213
  Trial 42: MSE=0.780403, R²=0.1495
  Trial 43: MSE=0.854553, R²=0.0490
  Trial 44: MSE=0.806098, R²=0.0980
  Trial 45: MSE=0.707403, R²=0.2230
  Trial 46: MSE=0.849547, R²=0.0856
  Trial 47: MSE=0.790530, R²=0.2933
  Trial 48: MSE=0.887764, R²=0.1466
  Trial 49: MSE=0.964602, R²=0.2340
  => R²=0.1675, MSE=0.834482, Time=327.7ms

[18/24] K=100, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=1.326419, R²=-0.2089
  Trial 41: MSE=1.153234, R²=-0.1243
  Trial 42: MSE=1.106141, R²=-0.2055
  Trial 43: MSE=1.194201, R²=-0.3290
  Trial 44: MSE=1.135773, R²=-0.2710
  Trial 45: MSE=0.991870, R²=-0.0895
  Trial 46: MSE=1.193391, R²=-0.2845
  Trial 47: MSE=1.112266, R²=0.0056
  Trial 48: MSE=1.283419, R²=-0.2337
  Trial 49: MSE=1.420070, R²=-0.1277
  => R²=-0.1869, MSE=1.191678, Time=303.5ms

[19/24] K=100, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.899548, R²=0.1801
  Trial 41: MSE=0.795358, R²=0.2246
  Trial 42: MSE=0.781035, R²=0.1488
  Trial 43: MSE=0.855476, R²=0.0480
  Trial 44: MSE=0.806282, R²=0.0977
  Trial 45: MSE=0.706357, R²=0.2241
  Trial 46: MSE=0.850107, R²=0.0850
  Trial 47: MSE=0.791598, R²=0.2923
  Trial 48: MSE=0.884141, R²=0.1501
  Trial 49: MSE=0.955284, R²=0.2414
  => R²=0.1692, MSE=0.832519, Time=326.9ms

[20/24] K=100, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.907890, R²=0.1725
  Trial 41: MSE=0.802990, R²=0.2171
  Trial 42: MSE=0.785740, R²=0.1437
  Trial 43: MSE=0.859387, R²=0.0436
  Trial 44: MSE=0.811954, R²=0.0914
  Trial 45: MSE=0.710079, R²=0.2200
  Trial 46: MSE=0.854409, R²=0.0803
  Trial 47: MSE=0.796172, R²=0.2882
  Trial 48: MSE=0.892652, R²=0.1419
  Trial 49: MSE=0.968802, R²=0.2307
  => R²=0.1630, MSE=0.839008, Time=377.1ms

[21/24] K=999, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=1.678658, R²=-0.5299
  Trial 41: MSE=1.443877, R²=-0.4077
  Trial 42: MSE=1.417799, R²=-0.5452
  Trial 43: MSE=1.561831, R²=-0.7381
  Trial 44: MSE=1.468542, R²=-0.6433
  Trial 45: MSE=1.265277, R²=-0.3898
  Trial 46: MSE=1.567236, R²=-0.6869
  Trial 47: MSE=1.464774, R²=-0.3095
  Trial 48: MSE=1.635904, R²=-0.5725
  Trial 49: MSE=1.793072, R²=-0.4239
  => R²=-0.5247, MSE=1.529697, Time=311.5ms

[22/24] K=999, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=1.678658, R²=-0.5299
  Trial 41: MSE=1.443877, R²=-0.4077
  Trial 42: MSE=1.417799, R²=-0.5452
  Trial 43: MSE=1.561831, R²=-0.7381
  Trial 44: MSE=1.468542, R²=-0.6433
  Trial 45: MSE=1.265277, R²=-0.3898
  Trial 46: MSE=1.567236, R²=-0.6869
  Trial 47: MSE=1.464774, R²=-0.3095
  Trial 48: MSE=1.635904, R²=-0.5725
  Trial 49: MSE=1.793072, R²=-0.4239
  => R²=-0.5247, MSE=1.529697, Time=302.4ms

[23/24] K=999, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=1.681332, R²=-0.5324
  Trial 41: MSE=1.453169, R²=-0.4167
  Trial 42: MSE=1.427169, R²=-0.5554
  Trial 43: MSE=1.574343, R²=-0.7521
  Trial 44: MSE=1.483449, R²=-0.6600
  Trial 45: MSE=1.273775, R²=-0.3992
  Trial 46: MSE=1.577666, R²=-0.6981
  Trial 47: MSE=1.477768, R²=-0.3212
  Trial 48: MSE=1.643438, R²=-0.5798
  Trial 49: MSE=1.801170, R²=-0.4303
  => R²=-0.5345, MSE=1.539328, Time=407.6ms

[24/24] K=999, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=1.681332, R²=-0.5324
  Trial 41: MSE=1.453169, R²=-0.4167
  Trial 42: MSE=1.427169, R²=-0.5554
  Trial 43: MSE=1.574343, R²=-0.7521
  Trial 44: MSE=1.483449, R²=-0.6600
  Trial 45: MSE=1.273775, R²=-0.3992
  Trial 46: MSE=1.577666, R²=-0.6981
  Trial 47: MSE=1.477768, R²=-0.3212
  Trial 48: MSE=1.643438, R²=-0.5798
  Trial 49: MSE=1.801170, R²=-0.4303
  => R²=-0.5345, MSE=1.539328, Time=424.6ms

================================================================================
RESULTS SUMMARY — ode_source=acausal, obs_delay=10
================================================================================
     K        Q        R         R²          MSE   Time(ms)
----------------------------------------------------------
     1    0.010    0.010     0.8842     0.115611     1173.7
     1    0.010    0.100     0.7812     0.219403     1141.1
     1    0.100    0.010     0.8877     0.112141     1163.4 *
     1    0.100    0.100     0.8841     0.115744     1161.5
    10    0.010    0.010     0.8623     0.137516      502.8
    10    0.010    0.100     0.5168     0.485631      389.5
    10    0.100    0.010     0.8735     0.126151      391.8
    10    0.100    0.100     0.8617     0.138100      391.9
    20    0.010    0.010     0.7791     0.220800      349.1
    20    0.010    0.100     0.3577     0.645301      343.1
    20    0.100    0.010     0.7895     0.210290      335.2
    20    0.100    0.100     0.7781     0.221845      335.8
    50    0.010    0.010     0.5429     0.457650      316.2
    50    0.010    0.100     0.0835     0.920687      321.1
    50    0.100    0.010     0.5499     0.450480      324.4
    50    0.100    0.100     0.5408     0.459749      324.0
   100    0.010    0.010     0.1675     0.834482      327.7
   100    0.010    0.100    -0.1869     1.191678      303.5
   100    0.100    0.010     0.1692     0.832519      326.9
   100    0.100    0.100     0.1630     0.839008      377.1
   999    0.010    0.010    -0.5247     1.529697      311.5
   999    0.010    0.100    -0.5247     1.529697      302.4
   999    0.100    0.010    -0.5345     1.539328      407.6
   999    0.100    0.100    -0.5345     1.539328      424.6

Best config: K=1, Q=0.1, R=0.01
  R²=0.8877, MSE=0.112141
  Avg inference time per trial: 1163.4ms

================================================================================
COMPARISON CONTEXT
================================================================================
  Causal baseline (LatentCANODE, R²=0.8252): causal encoder + CA-ODE
  Acausal baseline (LatentNODE, R²=0.9387): bidirectional encoder
  This run (ode_source=acausal, delay=10):
    Best R² = 0.8877
    => IMPROVEMENT over causal baseline by 0.0625

Results saved to results/enkf_causal_B2/enkf_results.json

Done! All results in results/enkf_causal_B2/
