Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=0
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  => R²=0.9233, MSE=0.076583, Time=556.0ms

[7/24] K=10, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.024482, R²=0.9777
  Trial 41: MSE=0.021134, R²=0.9794
  Trial 42: MSE=0.025399, R²=0.9723
  Trial 43: MSE=0.025787, R²=0.9713
  Trial 44: MSE=0.023862, R²=0.9733
  Trial 45: MSE=0.025942, R²=0.9715
  Trial 46: MSE=0.023044, R²=0.9752
  Trial 47: MSE=0.020910, R²=0.9813
  Trial 48: MSE=0.023189, R²=0.9777
  Trial 49: MSE=0.019720, R²=0.9843
  => R²=0.9764, MSE=0.023347, Time=519.9ms

[8/24] K=10, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.032391, R²=0.9705
  Trial 41: MSE=0.027858, R²=0.9728
  Trial 42: MSE=0.032168, R²=0.9649
  Trial 43: MSE=0.032888, R²=0.9634
  Trial 44: MSE=0.030309, R²=0.9661
  Trial 45: MSE=0.033048, R²=0.9637
  Trial 46: MSE=0.029658, R²=0.9681
  Trial 47: MSE=0.026437, R²=0.9764
  Trial 48: MSE=0.030420, R²=0.9708
  Trial 49: MSE=0.027542, R²=0.9781
  => R²=0.9695, MSE=0.030272, Time=533.2ms

[9/24] K=20, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.048377, R²=0.9559
  Trial 41: MSE=0.040315, R²=0.9607
  Trial 42: MSE=0.046881, R²=0.9489
  Trial 43: MSE=0.048329, R²=0.9462
  Trial 44: MSE=0.043694, R²=0.9511
  Trial 45: MSE=0.048232, R²=0.9470
  Trial 46: MSE=0.042502, R²=0.9543
  Trial 47: MSE=0.037815, R²=0.9662
  Trial 48: MSE=0.044112, R²=0.9576
  Trial 49: MSE=0.040222, R²=0.9681
  => R²=0.9556, MSE=0.044048, Time=505.5ms

[10/24] K=20, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.102756, R²=0.9063
  Trial 41: MSE=0.089504, R²=0.9127
  Trial 42: MSE=0.091057, R²=0.9008
  Trial 43: MSE=0.093883, R²=0.8955
  Trial 44: MSE=0.089899, R²=0.8994
  Trial 45: MSE=0.091967, R²=0.8990
  Trial 46: MSE=0.087517, R²=0.9058
  Trial 47: MSE=0.075848, R²=0.9322
  Trial 48: MSE=0.097570, R²=0.9062
  Trial 49: MSE=0.103061, R²=0.9182
  => R²=0.9076, MSE=0.092306, Time=486.2ms

[11/24] K=20, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.040700, R²=0.9629
  Trial 41: MSE=0.033539, R²=0.9673
  Trial 42: MSE=0.040879, R²=0.9554
  Trial 43: MSE=0.042283, R²=0.9529
  Trial 44: MSE=0.037780, R²=0.9577
  Trial 45: MSE=0.042297, R²=0.9535
  Trial 46: MSE=0.036276, R²=0.9610
  Trial 47: MSE=0.032946, R²=0.9705
  Trial 48: MSE=0.036792, R²=0.9646
  Trial 49: MSE=0.030897, R²=0.9755
  => R²=0.9621, MSE=0.037439, Time=488.3ms

[12/24] K=20, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.049369, R²=0.9550
  Trial 41: MSE=0.041283, R²=0.9598
  Trial 42: MSE=0.047867, R²=0.9478
  Trial 43: MSE=0.049340, R²=0.9451
  Trial 44: MSE=0.044681, R²=0.9500
  Trial 45: MSE=0.049237, R²=0.9459
  Trial 46: MSE=0.043560, R²=0.9531
  Trial 47: MSE=0.038820, R²=0.9653
  Trial 48: MSE=0.045196, R²=0.9566
  Trial 49: MSE=0.041190, R²=0.9673
  => R²=0.9546, MSE=0.045054, Time=506.1ms

[13/24] K=50, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.079975, R²=0.9271
  Trial 41: MSE=0.065950, R²=0.9357
  Trial 42: MSE=0.074212, R²=0.9191
  Trial 43: MSE=0.077768, R²=0.9135
  Trial 44: MSE=0.070324, R²=0.9213
  Trial 45: MSE=0.077312, R²=0.9151
  Trial 46: MSE=0.067694, R²=0.9271
  Trial 47: MSE=0.060149, R²=0.9462
  Trial 48: MSE=0.072356, R²=0.9304
  Trial 49: MSE=0.067353, R²=0.9465
  => R²=0.9282, MSE=0.071309, Time=496.3ms

[14/24] K=50, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.131750, R²=0.8799
  Trial 41: MSE=0.116400, R²=0.8865
  Trial 42: MSE=0.113461, R²=0.8763
  Trial 43: MSE=0.117226, R²=0.8695
  Trial 44: MSE=0.117775, R²=0.8682
  Trial 45: MSE=0.114707, R²=0.8740
  Trial 46: MSE=0.110730, R²=0.8808
  Trial 47: MSE=0.096226, R²=0.9140
  Trial 48: MSE=0.125096, R²=0.8798
  Trial 49: MSE=0.137340, R²=0.8909
  => R²=0.8820, MSE=0.118071, Time=500.7ms

[15/24] K=50, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.068418, R²=0.9376
  Trial 41: MSE=0.055933, R²=0.9455
  Trial 42: MSE=0.066895, R²=0.9271
  Trial 43: MSE=0.071131, R²=0.9208
  Trial 44: MSE=0.063131, R²=0.9294
  Trial 45: MSE=0.071235, R²=0.9218
  Trial 46: MSE=0.059572, R²=0.9359
  Trial 47: MSE=0.054291, R²=0.9515
  Trial 48: MSE=0.061232, R²=0.9411
  Trial 49: MSE=0.050455, R²=0.9599
  => R²=0.9371, MSE=0.062229, Time=482.2ms

[16/24] K=50, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.082230, R²=0.9251
  Trial 41: MSE=0.068253, R²=0.9335
  Trial 42: MSE=0.076587, R²=0.9165
  Trial 43: MSE=0.080218, R²=0.9107
  Trial 44: MSE=0.072428, R²=0.9190
  Trial 45: MSE=0.079573, R²=0.9126
  Trial 46: MSE=0.070006, R²=0.9246
  Trial 47: MSE=0.062305, R²=0.9443
  Trial 48: MSE=0.074817, R²=0.9281
  Trial 49: MSE=0.069508, R²=0.9448
  => R²=0.9259, MSE=0.073592, Time=468.0ms

[17/24] K=100, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.106341, R²=0.9031
  Trial 41: MSE=0.089383, R²=0.9129
  Trial 42: MSE=0.095968, R²=0.8954
  Trial 43: MSE=0.100350, R²=0.8883
  Trial 44: MSE=0.091982, R²=0.8971
  Trial 45: MSE=0.099588, R²=0.8906
  Trial 46: MSE=0.088586, R²=0.9046
  Trial 47: MSE=0.078694, R²=0.9296
  Trial 48: MSE=0.098729, R²=0.9051
  Trial 49: MSE=0.096457, R²=0.9234
  => R²=0.9050, MSE=0.094608, Time=453.4ms

[18/24] K=100, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.155869, R²=0.8579
  Trial 41: MSE=0.140431, R²=0.8631
  Trial 42: MSE=0.132464, R²=0.8556
  Trial 43: MSE=0.138196, R²=0.8462
  Trial 44: MSE=0.144360, R²=0.8385
  Trial 45: MSE=0.133675, R²=0.8532
  Trial 46: MSE=0.129431, R²=0.8607
  Trial 47: MSE=0.115164, R²=0.8970
  Trial 48: MSE=0.149634, R²=0.8562
  Trial 49: MSE=0.167406, R²=0.8671
  => R²=0.8595, MSE=0.140663, Time=452.6ms

[19/24] K=100, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.088130, R²=0.9197
  Trial 41: MSE=0.070968, R²=0.9308
  Trial 42: MSE=0.085736, R²=0.9066
  Trial 43: MSE=0.090017, R²=0.8998
  Trial 44: MSE=0.080312, R²=0.9101
  Trial 45: MSE=0.090895, R²=0.9002
  Trial 46: MSE=0.075203, R²=0.9191
  Trial 47: MSE=0.069780, R²=0.9376
  Trial 48: MSE=0.079745, R²=0.9233
  Trial 49: MSE=0.065153, R²=0.9483
  => R²=0.9195, MSE=0.079594, Time=467.3ms

[20/24] K=100, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.110630, R²=0.8992
  Trial 41: MSE=0.093645, R²=0.9087
  Trial 42: MSE=0.100230, R²=0.8908
  Trial 43: MSE=0.104639, R²=0.8835
  Trial 44: MSE=0.095820, R²=0.8928
  Trial 45: MSE=0.103810, R²=0.8860
  Trial 46: MSE=0.092852, R²=0.9001
  Trial 47: MSE=0.082884, R²=0.9259
  Trial 48: MSE=0.103029, R²=0.9010
  Trial 49: MSE=0.100600, R²=0.9201
  => R²=0.9008, MSE=0.098814, Time=454.7ms

[21/24] K=999, Q=0.01, R=0.01, delay=0
  Trial 40: MSE=0.132667, R²=0.8791
  Trial 41: MSE=0.117085, R²=0.8858
  Trial 42: MSE=0.115552, R²=0.8741
  Trial 43: MSE=0.119113, R²=0.8674
  Trial 44: MSE=0.115075, R²=0.8712
  Trial 45: MSE=0.116099, R²=0.8725
  Trial 46: MSE=0.112398, R²=0.8790
  Trial 47: MSE=0.098076, R²=0.9123
  Trial 48: MSE=0.128203, R²=0.8768
  Trial 49: MSE=0.134662, R²=0.8931
  => R²=0.8811, MSE=0.118893, Time=438.2ms

[22/24] K=999, Q=0.01, R=0.1, delay=0
  Trial 40: MSE=0.181556, R²=0.8345
  Trial 41: MSE=0.167958, R²=0.8363
  Trial 42: MSE=0.151896, R²=0.8345
  Trial 43: MSE=0.159596, R²=0.8224
  Trial 44: MSE=0.177081, R²=0.8018
  Trial 45: MSE=0.152512, R²=0.8325
  Trial 46: MSE=0.150231, R²=0.8383
  Trial 47: MSE=0.135150, R²=0.8792
  Trial 48: MSE=0.177609, R²=0.8293
  Trial 49: MSE=0.201665, R²=0.8399
  => R²=0.8349, MSE=0.165525, Time=426.4ms

[23/24] K=999, Q=0.1, R=0.01, delay=0
  Trial 40: MSE=0.103168, R²=0.9060
  Trial 41: MSE=0.084302, R²=0.9178
  Trial 42: MSE=0.099798, R²=0.8912
  Trial 43: MSE=0.105193, R²=0.8829
  Trial 44: MSE=0.095068, R²=0.8936
  Trial 45: MSE=0.103801, R²=0.8860
  Trial 46: MSE=0.089793, R²=0.9034
  Trial 47: MSE=0.084381, R²=0.9246
  Trial 48: MSE=0.094916, R²=0.9088
  Trial 49: MSE=0.078865, R²=0.9374
  => R²=0.9052, MSE=0.093928, Time=432.3ms

[24/24] K=999, Q=0.1, R=0.1, delay=0
  Trial 40: MSE=0.140502, R²=0.8719
  Trial 41: MSE=0.124603, R²=0.8785
  Trial 42: MSE=0.123096, R²=0.8658
  Trial 43: MSE=0.126966, R²=0.8587
  Trial 44: MSE=0.122414, R²=0.8630
  Trial 45: MSE=0.124208, R²=0.8636
  Trial 46: MSE=0.120651, R²=0.8701
  Trial 47: MSE=0.105723, R²=0.9055
  Trial 48: MSE=0.135712, R²=0.8695
  Trial 49: MSE=0.142118, R²=0.8871
  => R²=0.8734, MSE=0.126599, Time=436.5ms

================================================================================
RESULTS SUMMARY — ode_source=causal, obs_delay=0
================================================================================
     K        Q        R         R²          MSE   Time(ms)
----------------------------------------------------------
     1    0.010    0.010     0.9933     0.006605     1334.6
     1    0.010    0.100     0.9599     0.039848     1289.8
     1    0.100    0.010     0.9997     0.000285     1295.4 *
     1    0.100    0.100     0.9932     0.006723     1291.6
    10    0.010    0.010     0.9701     0.029678      543.4
    10    0.010    0.100     0.9233     0.076583      556.0
    10    0.100    0.010     0.9764     0.023347      519.9
    10    0.100    0.100     0.9695     0.030272      533.2
    20    0.010    0.010     0.9556     0.044048      505.5
    20    0.010    0.100     0.9076     0.092306      486.2
    20    0.100    0.010     0.9621     0.037439      488.3
    20    0.100    0.100     0.9546     0.045054      506.1
    50    0.010    0.010     0.9282     0.071309      496.3
    50    0.010    0.100     0.8820     0.118071      500.7
    50    0.100    0.010     0.9371     0.062229      482.2
    50    0.100    0.100     0.9259     0.073592      468.0
   100    0.010    0.010     0.9050     0.094608      453.4
   100    0.010    0.100     0.8595     0.140663      452.6
   100    0.100    0.010     0.9195     0.079594      467.3
   100    0.100    0.100     0.9008     0.098814      454.7
   999    0.010    0.010     0.8811     0.118893      438.2
   999    0.010    0.100     0.8349     0.165525      426.4
   999    0.100    0.010     0.9052     0.093928      432.3
   999    0.100    0.100     0.8734     0.126599      436.5

Best config: K=1, Q=0.1, R=0.01
  R²=0.9997, MSE=0.000285
  Avg inference time per trial: 1295.4ms

================================================================================
COMPARISON CONTEXT
================================================================================
  Causal baseline (LatentCANODE, R²=0.8252): causal encoder + CA-ODE
  Acausal baseline (LatentNODE, R²=0.9387): bidirectional encoder
  This run (ode_source=causal, delay=0):
    Best R² = 0.9997
    => IMPROVEMENT over causal baseline by 0.1745

Results saved to results/enkf_causal_A1/enkf_results.json

Done! All results in results/enkf_causal_A1/
